News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
CBSNews,2018-09-29 17:39:37+00:00,"As uproar continues over NFL protests during the national anthem, some players are quietly working to enact change… https://t.co/ZWZp7Hlrms",-0.2263,0.0,0.905,0.095,34
CBSNews,2018-09-29 17:19:45+00:00,"New York Film Festival review: ""The Favourite,"" from Greek director Yorgos Lanthimos, is a cruelly funny period pie… https://t.co/vpeqeVP5ZL",0.3182,0.245,0.602,0.153,35
CBSNews,2018-09-29 17:00:00+00:00,"North Korea says ""no way"" it will disarm nuclear weapons if it can't trust U.S. https://t.co/c3aPYpK9I2 https://t.co/nFRGAP2jJa",-0.7784,0.0,0.642,0.358,36
CBSNews,2018-09-29 16:39:34+00:00,"""If you didn't cooperate with him, you was going down"": Wrongfully convicted Chicago residents recall life under co… https://t.co/ShnjHjvu3a",0.0,0.0,1.0,0.0,37
CBSNews,2018-09-29 16:19:41+00:00,Christine Blasey Ford's friend Leland Keyser says she doesn't remember 1982 house party but believes the sexual ass… https://t.co/v31N85nHPR,0.4497,0.189,0.811,0.0,38
CBSNews,2018-09-29 16:00:02+00:00,"Review: Orson Welles' ""The Other Side of the Wind"" was one of the most infamous unfinished films for decades. Does… https://t.co/QBvRtNyUgs",0.0,0.0,1.0,0.0,39
CBSNews,2018-09-29 15:19:34+00:00,"The Brett Kavanaugh and Christine Blasey Ford hearings drew more than 20 million viewers, an audience comparable to… https://t.co/Yld5VtRIft",0.0,0.0,1.0,0.0,40
CBSNews,2018-09-29 15:02:12+00:00,Two Mississippi officers dead after shootout; wounded suspect in custody https://t.co/JPj3Iz4IGF https://t.co/Ilgd3wTLad,-0.7579,0.0,0.606,0.394,41
CBSNews,2018-09-29 14:29:48+00:00,"Marty Balin, founder of Jefferson Airplane, dies at 76 https://t.co/h2pY4wFzMr https://t.co/czhq7Es1nB",0.0,0.0,1.0,0.0,42
CBSNews,2018-09-29 14:09:31+00:00,"Prominent business leader Philip Trenary shot dead in Memphis; ""personal vendetta"" eyed https://t.co/FdqolZx65m https://t.co/hj5GrbwUNE",-0.4588,0.124,0.645,0.231,43
